iter	RMSE
597	2232149.938
598	2232004.671
599	2231668.222
600	2231586.201
601	2231357.702
602	2231191.243
603	2231025.352
604	2230838.071
605	2230616.272
606	2230238.431
607	2229949.891
608	2229536.291
609	2229285.491
610	2229119.359
611	2228886.773
612	2228688.762
613	2228521.742
614	2228375.472
615	2228169.532
616	2228009.361
617	2227801.125
618	2227653.676
619	2227523.194
620	2227359.503
621	2227229.568
622	2227063.863
623	2226877.89
624	2226726.219
625	2226615.913
626	2226297.235
627	2225812.653
628	2225631.529
629	2225506.67
630	2225299.318
631	2225105.72
632	2224893.092
633	2224653.017
634	2224272.127
635	2224102.707
636	2223936.77
637	2223797.455
638	2223643.626
639	2223461.594
640	2223214.317
641	2223052.19
642	2222871.354
643	2222796.256
644	2222588.791
645	2222426.676
646	2222347.712
647	2222185.622
648	2221963.479
649	2221905.873
650	2221696.331
651	2221609.148
652	2221558.111
653	2221401.433
654	2221225.21
655	2221041.546
656	2220851.967
657	2220666.752
658	2220514.964
659	2220316.607
660	2220087.422
661	2219885.687
662	2219718.599
663	2219551.168
664	2219391.509
665	2219117.97
666	2218890.449
667	2218762.756
668	2218471.437
669	2218222.67
670	2218051.215
671	2217855.014
672	2217614.985
673	2217296.209
674	2217061.61
675	2216880.053
676	2216649.302
677	2216338.81
678	2216114.792
679	2215859.282
680	2215700.166
681	2215553.289
682	2215341.894
683	2215239.425
684	2215122.517
685	2214898.104
686	2214697.367
687	2214610.878
688	2214393.629
689	2214190.74
690	2214055.709
691	2213831.46
692	2213596.381
693	2213504.066
694	2213342.597
695	2213044.985
696	2212908.781
697	2212753.653
698	2212516.52
699	2212293.147
700	2212212.409
701	2211985.071
702	2211785.892
703	2211621.76
704	2211409.617
705	2211254.49
706	2211013.687
707	2210846.522
708	2210654.549
709	2210520.276
710	2210186.118
711	2209999.92
712	2209825.302
713	2209726.312
714	2209542.88
715	2209406.173
716	2209235.179
717	2209115.339
718	2208947.184
719	2208671.872
720	2208545.454
721	2208452.318
722	2208308.825
723	2208143.809
724	2208002.502
725	2207862.091
726	2207639.433
727	2207444.337
728	2207302.067
729	2206938.959
730	2206788.061
731	2206663.411
732	2206500.355
733	2206385.418
734	2206167.344
735	2206063.289
736	2205910.766
737	2205749.837
738	2205656.47
739	2205516.157
740	2205356.897
741	2205275.858
742	2205125.393
743	2204763.35
744	2204624.571
745	2204438.273
746	2204294.7
747	2204101.776
748	2203914.686
749	2203716.88
750	2203602.272
751	2203502.256
752	2203127.163
753	2202960.754
754	2202678.805
755	2202489.344
756	2202379.775
757	2202202.401
758	2202084.144
759	2201900.35
760	2201741.248
761	2201545.405
762	2201344.175
763	2201098.652
764	2200918.21
765	2200707.05
766	2200539.628
767	2200320.18
768	2200091.8
769	2199959.493
770	2199745.22
771	2199572.027
772	2199419.241
773	2199238.328
774	2198963.583
775	2198778.33
776	2198599.592
777	2198352.053
778	2198129.974
779	2197929.715
780	2197763.609
781	2197578.019
782	2197438.611
783	2197188.891
784	2196981.638
785	2196816.886
786	2196616.786
787	2196401.987
788	2196185.38
789	2196064.045
790	2195914.798
791	2195708.321
792	2195505.496
793	2195325.33
794	2195224.798
795	2194992.867
796	2194670.172
797	2194492.886
798	2194365.818
799	2194176.59
800	2193959.369
801	2193832.866
802	2193637.491
803	2193341.9
804	2193197.644
805	2193043.15
806	2192815.486
807	2192569.537
808	2192451.111
809	2192372.524
810	2192139.072
811	2191994.144
812	2191738.404
813	2191617.286
814	2191463.613
815	2191300.175
816	2191176.108
817	2191030.998
818	2190862.967
819	2190707.08
820	2190417.469
821	2190281.078
822	2190134.675
823	2189906.202
824	2189713.613
825	2189528.522
826	2189407.313
827	2189280.583
828	2189049.21
829	2188914.915
830	2188730.516
831	2188605.524
832	2188454.573
833	2188283.578
834	2188077.843
835	2187952.979
836	2187719.022
837	2187582.712
838	2187388.315
839	2187204.327
840	2187065.501
841	2186982.645
842	2186899.556
843	2186780.802
844	2186625.724
845	2186471.024
846	2186342.635
847	2186251.127
848	2186071.209
849	2185907.562
850	2185675.89
851	2185453.478
852	2185320.346
853	2185143.403
854	2185067.705
855	2184790.116
856	2184609.747
857	2184487.805
858	2184393.237
859	2184209.939
860	2183960.458
861	2183772.588
862	2183415.347
863	2183271.075
864	2183143.833
865	2183027.367
866	2182793.423
867	2182659.653
868	2182539.825
869	2182339.597
870	2182156.247
871	2181952.575
872	2181807.089
873	2181650.265
874	2181516.236
875	2181406.362
