iter	Passed	Remaining
850	16851	2950
851	16863	2929
852	16893	2911
853	16905	2890
854	16916	2868
855	16928	2847
856	16938	2826
857	16948	2805
858	16958	2783
859	16968	2762
860	16982	2741
861	17000	2721
862	17012	2700
863	17024	2679
864	17034	2658
865	17043	2637
866	17056	2616
867	17068	2595
868	17079	2574
869	17091	2553
870	17104	2533
871	17119	2512
872	17128	2491
873	17145	2471
874	17156	2450
875	17165	2429
876	17175	2408
877	17185	2388
878	17195	2367
879	17206	2346
880	17216	2325
881	17227	2304
882	17238	2284
883	17248	2263
884	17258	2242
885	17269	2222
886	17279	2201
887	17287	2180
888	17296	2159
889	17305	2138
890	17313	2118
891	17323	2097
892	17332	2076
893	17343	2056
894	17352	2035
895	17362	2015
896	17372	1994
897	17383	1974
898	17396	1954
899	17409	1934
900	17419	1913
901	17429	1893
902	17438	1873
903	17448	1852
904	17457	1832
905	17467	1812
906	17478	1792
907	17492	1772
908	17501	1752
909	17509	1731
910	17518	1711
911	17527	1691
912	17537	1671
913	17547	1651
914	17558	1631
915	17568	1611
916	17578	1591
917	17590	1571
918	17601	1551
919	17610	1531
920	17620	1511
921	17630	1491
922	17640	1471
923	17656	1452
924	17671	1432
925	17687	1413
926	17697	1393
927	17706	1373
928	17718	1354
929	17732	1334
930	17749	1315
931	17761	1295
932	17771	1276
933	17781	1256
934	17790	1236
935	17799	1217
936	17808	1197
937	17818	1177
938	17828	1158
939	17838	1138
940	17848	1119
941	17858	1099
942	17872	1080
943	17896	1061
944	17911	1042
945	17922	1023
946	17940	1004
947	17966	985
948	17994	967
949	18015	948
950	18036	929
951	18063	910
952	18097	892
953	18131	874
954	18159	855
955	18185	836
956	18214	818
957	18243	799
958	18270	781
959	18297	762
960	18310	743
961	18333	724
962	18356	705
963	18368	685
964	18381	666
965	18404	647
966	18414	628
967	18424	609
968	18435	589
969	18448	570
970	18458	551
971	18472	532
972	18489	513
973	18501	493
974	18512	474
975	18525	455
976	18539	436
977	18551	417
978	18563	398
979	18576	379
980	18589	360
981	18601	340
982	18613	321
983	18629	302
984	18660	284
985	18684	265
986	18704	246
987	18722	227
988	18736	208
989	18750	189
990	18786	170
991	18827	151
992	18867	133
993	18892	114
994	18933	95
995	18954	76
996	18975	57
997	18991	38
998	19009	19
999	19023	0
61	50697	2002
962	50713	1948
963	50730	1894
964	50749	1840
965	50771	1786
966	50795	1733
967	50821	1680
968	50845	1626
969	50864	1573
970	50885	1519
